TRP,LON,LAT,TA,GS
18628.1562,89.5126211643,46.8047136068,28.125,8.1387
18628.6641,89.512642622,46.8047404289,28.125,9.3595
18629.0703,89.5126533508,46.8047565222,28.125,9.3595
18629.6562,89.5126801729,46.8047726154,28.125,10.1733
18630.2422,89.5127016306,46.8048048019,30.9375,10.1733
18631.2891,89.5127499104,46.8048477173,30.9375,10.9872
18631.8594,89.5127552748,46.804869175,28.125,10.9872
18632.4141,89.5127820969,46.8049013615,28.125,12.208
18633.9609,89.512835741,46.8049710989,28.125,13.0219
18634.9219,89.5128840208,46.8050193787,30.9375,13.0219
18636.0312,89.5129215717,46.8050676584,30.9375,6.5109
18636.5703,89.5129537582,46.8050998449,30.9375,6.5109
18637.0234,89.5129537582,46.8051105738,30.9375,6.5109
18640.3516,89.5130717754,46.8052500486,28.125,10.1733
18640.8828,89.5130878687,46.8052715063,28.125,10.1733
18641.3594,89.5131093264,46.8052983284,28.125,9.3595
18642.75,89.5131576061,46.8053466082,28.125,9.3595
18646.375,89.5132702589,46.8054914474,28.125,10.9872
18647.3594,89.5133078098,46.8055343628,28.125,10.9872
18649.9062,89.5133882761,46.8056362867,28.125,10.9872
18651.0156,89.513425827,46.8056845665,28.125,10.1733
18652.0859,89.5134580135,46.805716753,30.9375,9.3595
18653.0156,89.5134902,46.8057543039,28.125,9.3595
18654.9141,89.5135438442,46.8058240414,28.125,9.3595
18657.9609,89.5136082172,46.8059259653,19.6875,7.3248
18659.4922,89.513592124,46.8059688807,14.0625,4.4763
18663.4219,89.5135223866,46.8060600758,351.5625,2.8485
18663.875,89.5135223866,46.8060815334,348.75,2.8485
18669.2344,89.5133507252,46.8061566353,317.8125,3.2555
18672.8828,89.5132273436,46.806204915,306.5625,3.6624
18686.9609,89.512771368,46.8064409494,317.8125,2.8485
18688.4922,89.5127874613,46.8064838648,331.875,2.4416
18689.9609,89.5128142834,46.8065106869,345.9375,2.0347
18693.6406,89.5128893852,46.8065536022,11.25,2.0347
18694.0938,89.5129001141,46.8065696955,11.25,2.0347
18694.6562,89.5129001141,46.8065696955,11.25,5.6971
18701.7734,89.5129859447,46.8066716194,22.5,1.6277
18706.25,89.5130395889,46.8067467213,25.3125,2.4416
18714.0625,89.5131576061,46.8068861961,28.125,5.6971
18715.8984,89.5131736994,46.806896925,28.125,4.4763
18719.8203,89.5132058859,46.8069452047,28.125,3.6624
18722.1953,89.5132273436,46.806961298,30.9375,3.6624
