TRP,LON,LAT,TA,GS
40079.4141,89.51673,46.802273,299.8828,185.1548
40079.8672,89.516451,46.802444,299.8828,185.1548
40083.9453,89.51437,46.803217,299.1797,146.0892
40084.5312,89.514112,46.803303,299.1797,146.0892
40089.2031,89.512353,46.804032,299.8828,107.0235
40090.1641,89.512053,46.80414,300.2344,103.3611
40090.5625,89.511924,46.804183,300.2344,103.3611
40091.4844,89.511623,46.804311,300.2344,103.3611
40091.9922,89.511495,46.804354,300.2344,103.3611
40093.4609,89.511173,46.804461,300.2344,103.3611
40096.0312,89.510422,46.804762,298.8281,85.0491
40097.8984,89.50995,46.804955,299.5312,79.3521
40099.0469,89.509735,46.805019,298.8281,75.6896
40099.9766,89.509478,46.805127,298.8281,75.6896
40102.6719,89.508877,46.805363,299.1797,72.0272
40103.6094,89.508662,46.805449,299.1797,72.0272
40104.1406,89.508619,46.805491,298.4766,64.7024
40104.5859,89.508491,46.805491,298.4766,64.7024
40106.0703,89.508212,46.805642,300.2344,62.6678
40106.6484,89.508147,46.805685,300.2344,62.6678
40107.6484,89.507933,46.80577,300.9375,61.04
40108.0781,89.507804,46.80577,299.5312,59.0054
40109.4766,89.507525,46.805921,298.8281,57.3776
40110.8125,89.507332,46.806006,299.8828,55.343
40119.9297,89.5058351755,46.806601882,300.9375,16.6843
40121.9844,89.5055186749,46.8067145348,300.9375,14.6496
40122.5156,89.5054543018,46.8067520857,300.9375,14.6496
40125.7422,89.5050036907,46.8069291115,298.125,18.7189
40126.75,89.5048803091,46.8069666624,300.9375,16.6843
40127.2969,89.5048320293,46.8069827557,300.9375,15.8704
40128.7344,89.5046979189,46.8070363998,300.9375,12.208
40129.1328,89.5046657324,46.8070471287,300.9375,10.1733
40131.1562,89.5045477152,46.8071007729,300.9375,10.1733
40131.6016,89.5045316219,46.8071007729,300.9375,8.1387
40132.0312,89.5045155287,46.8071168661,300.9375,7.3248
40133.5312,89.5044457912,46.8071490526,303.75,4.4763
40134.0234,89.504429698,46.8071597815,306.5625,4.4763
40135.4922,89.5043814182,46.8071973324,312.1875,4.4763
40136.4688,89.504365325,46.8072080612,315.0,4.4763
40137.0234,89.5043385029,46.8072295189,317.8125,4.4763
40137.6172,89.5043116808,46.8072402477,317.8125,4.4763
40138.0312,89.5043116808,46.8072509766,320.625,4.4763
40138.5469,89.504300952,46.8072617054,320.625,4.4763
40138.9766,89.5042848587,46.8072724342,320.625,4.4763
40140.0156,89.504263401,46.8073099852,323.4375,5.6971
40140.9688,89.5042312145,46.8073368073,326.25,5.6971
40141.3828,89.5042151213,46.8073475361,326.25,5.6971
40141.9141,89.5042151213,46.8073689938,326.25,5.6971
40142.3594,89.5041936636,46.8073797226,329.0625,5.6971
40142.8047,89.5041775703,46.8073904514,329.0625,5.6971
40143.8438,89.5041668415,46.8074119091,329.0625,4.4763
40144.4219,89.5041453838,46.8074333668,329.0625,4.4763
40144.9609,89.5041292906,46.80744946,329.0625,4.4763
40145.4219,89.5041292906,46.8074601889,329.0625,4.4763
40145.8516,89.5041131973,46.8074601889,326.25,4.4763
40146.4453,89.5040917397,46.8074816465,326.25,3.6624
40146.9922,89.5040810108,46.8074977398,326.25,3.6624
40147.9297,89.5040434599,46.807513833,323.4375,3.6624
40149.0312,89.5040273666,46.8075299263,317.8125,3.2555
40149.5938,89.5040112734,46.8075406551,315.0,3.2555
40151.0859,89.5039629936,46.8075621128,303.75,2.8485
40153.9062,89.5038610697,46.8075621128,278.4375,2.0347
40154.5,89.5038557053,46.8075674772,272.8125,2.0347
40157.1016,89.5037913322,46.8075406551,250.3125,5.6971
40158.5078,89.5037859678,46.8075191975,236.25,5.6971
40158.9688,89.5037859678,46.8075191975,233.4375,5.6971
40160.0312,89.503775239,46.8075031042,222.1875,4.4763
40160.4531,89.5037591457,46.8075031042,219.375,4.4763
40161.5703,89.5037591457,46.8074816465,210.9375,4.4763
40162.1562,89.5037698746,46.8074709177,205.3125,4.4763
40162.6719,89.5037698746,46.8074709177,202.5,4.4763
40163.1328,89.5037591457,46.8074601889,196.875,4.4763
40164.1406,89.5037698746,46.80744946,188.4375,4.4763
40164.6875,89.503775239,46.8074333668,182.8125,4.4763
40166.125,89.5037859678,46.8074280024,168.75,4.4763
40166.5234,89.5038020611,46.8074119091,165.9375,5.6971
40166.9375,89.5038020611,46.8074119091,163.125,5.6971
40167.4453,89.5038020611,46.8074011803,157.5,5.6971
40167.9531,89.5038127899,46.8074011803,154.6875,5.6971
40168.5547,89.503839612,46.8073904514,149.0625,1.6277
40168.9922,89.503839612,46.8073904514,143.4375,1.6277
40169.4219,89.5038557053,46.8073797226,140.625,2.0347
40169.9531,89.5038610697,46.8073797226,137.8125,2.0347
40170.3828,89.5038771629,46.8073689938,135.0,2.4416
40170.9297,89.5038878918,46.8073582649,135.0,2.8485
40171.9922,89.5039308071,46.8073421717,129.375,3.2555
40172.8828,89.5039576292,46.8073368073,126.5625,3.6624
40173.375,89.5039737225,46.807320714,123.75,4.4763
40173.8594,89.5039951801,46.807320714,123.75,4.4763
40174.4141,89.5040112734,46.8073099852,123.75,5.6971
40175.0078,89.5040434599,46.8072992563,120.9375,5.6971
40175.4219,89.5040595531,46.8072885275,120.9375,6.5109
40175.9453,89.5040810108,46.8072724342,120.9375,6.5109
40176.3672,89.5041131973,46.8072724342,120.9375,7.3248
40176.9453,89.5041453838,46.8072509766,120.9375,7.3248
40177.4062,89.5041668415,46.8072509766,118.125,8.1387
40178.3594,89.5042151213,46.8072295189,118.125,9.3595
40178.7734,89.5042312145,46.8072187901,118.125,9.3595
40179.75,89.504300952,46.8071973324,118.125,10.1733
40180.1953,89.5043170452,46.8071812391,118.125,10.9872
40181.2344,89.5043814182,46.8071597815,118.125,12.208
40181.8125,89.5044243336,46.8071490526,118.125,12.208
40182.3516,89.5044618845,46.8071275949,120.9375,13.0219
40182.8125,89.5044779778,46.8071168661,120.9375,13.0219
40183.2422,89.5045155287,46.8071007729,120.9375,13.0219
40183.8438,89.504558444,46.807090044,120.9375,6.5109
40184.875,89.5046442747,46.8070578575,118.125,7.3248
40185.3125,89.5046818256,46.8070417643,118.125,7.3248
40186.4219,89.5047461987,46.8070095778,118.125,8.1387
40186.9844,89.5047998428,46.8069988489,118.125,9.3595
40187.5469,89.5048481226,46.8069773912,118.125,9.3595
40188.0234,89.5048803091,46.8069666624,118.125,10.1733
40188.9297,89.5049715042,46.8069398403,118.125,10.9872
40189.4141,89.5050036907,46.8069291115,118.125,10.9872
