TRP,LON,LAT,TA,GS
42297.2656,89.5157164335,46.8027448654,118.125,16.6843
42305.5156,89.5167195797,46.8023425341,118.125,18.7189
42307.7969,89.5170199871,46.8022352457,118.125,19.5328
42308.3047,89.5170897245,46.8022030592,118.125,19.5328
42309.3438,89.5172291994,46.8021547794,118.125,19.5328
42309.7734,89.5172774792,46.8021333218,118.125,19.5328
42310.7344,89.5174062252,46.8020796776,118.125,19.5328
42311.2734,89.5174759626,46.8020582199,118.125,20.3467
42311.7656,89.5175564289,46.8020260334,118.125,20.3467
42314.1875,89.517878294,46.8019026518,120.9375,20.3467
42314.7344,89.5179587603,46.8018597364,120.9375,20.3467
42323.5625,89.5192676783,46.8013608456,118.125,14.6496
42326.1641,89.5196646452,46.801199913,118.125,15.8704
42326.625,89.5197343826,46.8011784554,118.125,15.8704
42328.1875,89.5199757814,46.8010872602,118.125,15.8704
42330.7891,89.5203888416,46.8009209633,118.125,15.8704
42331.8281,89.520560503,46.8008512259,118.125,15.8704
42333.2188,89.5207750797,46.8007653952,118.125,15.8704
42337.7188,89.5215046406,46.8004918098,120.9375,16.6843
42338.75,89.5216602087,46.8004220724,120.9375,16.6843
42339.7109,89.5218265057,46.8003630638,120.9375,16.6843
42340.1641,89.5218801498,46.8003416061,120.9375,16.6843
42341.2266,89.5220464468,46.8002718687,120.9375,16.6843
42341.6484,89.5221108198,46.8002343178,120.9375,16.6843
42342.2031,89.5222073793,46.8002128601,120.9375,16.6843
42342.6094,89.5222771168,46.8001753092,120.9375,16.6843
42344.2188,89.5225346088,46.8000841141,118.125,16.6843
42345.8828,89.5227706432,46.7999768257,118.125,15.8704
42346.9844,89.5229637623,46.7999124527,118.125,15.8704
42347.4453,89.523049593,46.7998856306,118.125,15.8704
42347.9453,89.5231193304,46.7998480797,118.125,15.8704
42348.4531,89.5231837034,46.799826622,118.125,15.8704
42349.0,89.5232856274,46.7997944355,118.125,15.8704
42349.4766,89.5233553648,46.7997676134,118.125,14.6496
42350.8359,89.5235538483,46.799697876,118.125,14.6496
42351.25,89.5236182213,46.7996764183,118.125,14.6496
42351.7578,89.5236986876,46.7996442318,118.125,14.6496
42352.2656,89.5237845182,46.7996174097,118.125,14.6496
42352.8672,89.5238542557,46.7995852232,118.125,13.8357
42353.3047,89.5239400864,46.7995637655,118.125,13.8357
42353.7344,89.5240098238,46.7995369434,118.125,13.8357
42354.1953,89.5240581036,46.7995154858,118.125,13.8357
42354.625,89.524127841,46.7994886637,118.125,13.8357
42355.7656,89.5242995024,46.7994296551,118.125,13.8357
42356.2578,89.5243692398,46.7994081974,118.125,20.3467
42357.2188,89.5244926214,46.7993545532,118.125,20.3467
42358.3672,89.5246589184,46.799300909,118.125,20.3467
42358.9297,89.5247447491,46.7992687225,118.125,19.5328
42359.8672,89.5248681307,46.7992258072,118.125,19.5328
42360.7969,89.524975419,46.7991828918,118.125,19.5328
42361.2656,89.5250451565,46.7991614342,118.125,19.5328
42361.8203,89.5251256227,46.7991399765,115.3125,18.7189
42362.6875,89.5252275467,46.79910779,115.3125,18.7189
42363.7891,89.5253670216,46.7990487814,115.3125,17.4981
42364.3594,89.5254474878,46.7990219593,115.3125,17.4981
42365.2969,89.5255279541,46.7990005016,115.3125,16.6843
42366.3203,89.5256781578,46.7989575863,115.3125,16.6843
42366.8594,89.525731802,46.7989307642,115.3125,15.8704
42367.2812,89.5257639885,46.7989200354,115.3125,15.8704
42367.7422,89.5258444548,46.7988985777,115.3125,15.8704
42368.2344,89.5258820057,46.7988878489,115.3125,14.6496
42368.8047,89.5259463787,46.7988610268,115.3125,14.6496
42369.2266,89.5259839296,46.7988502979,115.3125,14.6496
42369.7812,89.5260536671,46.7988288403,115.3125,13.8357
42370.7344,89.5261341333,46.7988073826,115.3125,13.0219
42371.2656,89.5261824131,46.7987966537,115.3125,13.0219
42371.7891,89.5262253284,46.7987805605,115.3125,12.208
42372.3828,89.526284337,46.7987591028,115.3125,12.208
42372.8906,89.5263165236,46.7987591028,115.3125,10.9872
42373.4609,89.5263755322,46.7987322807,115.3125,10.1733
42374.0391,89.5264184475,46.7987269163,115.3125,9.3595
42374.5547,89.5264613628,46.7987108231,115.3125,9.3595
42375.0234,89.5264989138,46.7987000942,115.3125,8.1387
42376.0312,89.5265686512,46.7986679077,118.125,6.5109
42377.0469,89.5266330242,46.7986518145,118.125,13.0219
42378.0078,89.5266866684,46.7986249924,118.125,10.9872
42378.4141,89.5267188549,46.7986249924,118.125,10.1733
42378.8281,89.5267349482,46.7986142635,118.125,9.3595
42379.3359,89.5267724991,46.7985928059,118.125,8.1387
42379.8359,89.5267885923,46.798582077,120.9375,7.3248
42380.4375,89.5268046856,46.7985767126,123.75,5.6971
42380.875,89.5268207788,46.7985659838,126.5625,4.4763
42381.3125,89.5268207788,46.7985552549,129.375,3.6624
42382.2656,89.5268422365,46.7985391617,140.625,2.4416
42382.8125,89.5268368721,46.798517704,146.25,2.0347
42383.3047,89.5268368721,46.798517704,151.875,1.6277
42383.875,89.5268422365,46.7985123396,160.3125,5.6971
42384.2812,89.5268422365,46.7985016108,165.9375,5.6971
42384.7656,89.5268207788,46.7984962463,171.5625,4.4763
42385.2656,89.5268207788,46.7984855175,180.0,4.4763
42385.75,89.5268261433,46.7984908819,185.625,4.4763
42386.2969,89.5268046856,46.7984908819,194.0625,5.6971
42386.8984,89.5267885923,46.7984747887,202.5,5.6971
42387.8281,89.5267724991,46.7984801531,216.5625,5.6971
42388.25,89.5267724991,46.7984801531,222.1875,5.6971
42388.8281,89.5267510414,46.7984747887,230.625,5.6971
42389.2891,89.5267349482,46.7984747887,236.25,5.6971
42389.7266,89.5267403126,46.7984801531,241.875,5.6971
42390.25,89.5267188549,46.7984801531,247.5,1.6277
42390.6641,89.5267027617,46.7984801531,253.125,1.6277
42391.1875,89.5266866684,46.7984747887,258.75,1.6277
42391.6406,89.5266705751,46.7984747887,264.375,2.0347
42392.0859,89.5266705751,46.7984747887,267.1875,2.0347
42392.5547,89.5266544819,46.7984801531,270.0,2.0347
42393.125,89.5266330242,46.7984801531,272.8125,2.0347
42393.7031,89.526616931,46.7984855175,278.4375,2.4416
42394.7734,89.5265847445,46.7984962463,284.0625,2.4416
42395.1953,89.5265686512,46.7984962463,286.875,2.4416
42396.8047,89.526515007,46.798517704,292.5,2.8485
42397.2109,89.5265042782,46.798517704,295.3125,2.8485
42397.6953,89.5265042782,46.7985337973,295.3125,2.4416
42398.1953,89.5264828205,46.7985391617,298.125,2.4416
42398.6797,89.5264828205,46.7985391617,298.125,2.0347
42399.2266,89.526450634,46.7985445261,298.125,2.0347
42399.8281,89.5264452696,46.7985498905,298.125,1.6277
42400.2344,89.5264452696,46.7985498905,298.125,1.6277
42401.1797,89.5264184475,46.7985552549,300.9375,4.4763
42401.7578,89.5264130831,46.7985606194,300.9375,3.2555
42402.2188,89.5264130831,46.7985606194,300.9375,2.4416
42402.6562,89.5264130831,46.7985606194,300.9375,1.2208
42403.1797,89.5264184475,46.7985659838,300.9375,0.4069
42403.5938,89.5264023542,46.7985552549,300.9375,0.0
42404.1172,89.5264023542,46.7985552549,300.9375,0.0
42405.0156,89.5264130831,46.7985606194,300.9375,0.0
42405.4844,89.5264130831,46.7985606194,300.9375,0.0
42406.0547,89.5264023542,46.7985552549,300.9375,0.0
42406.6328,89.5264130831,46.7985606194,300.9375,0.0
42407.1719,89.5264023542,46.7985552549,300.9375,0.0
42407.6328,89.5264023542,46.7985552549,300.9375,0.0
42408.0625,89.5264023542,46.7985552549,300.9375,0.0
42408.6562,89.5264130831,46.7985606194,300.9375,0.0
42409.1953,89.5264023542,46.7985552549,300.9375,0.0
42409.6953,89.5264184475,46.7985552549,300.9375,0.0
42410.1328,89.5264130831,46.7985606194,300.9375,0.0
42410.6484,89.5264130831,46.7985606194,300.9375,0.0
42411.2344,89.5264023542,46.7985552549,300.9375,0.0
42411.7969,89.5264130831,46.7985606194,300.9375,0.0
42412.3594,89.5264023542,46.7985552549,300.9375,0.0
42412.8359,89.5264023542,46.7985552549,300.9375,0.0
42413.2969,89.5264023542,46.7985659838,300.9375,0.0
42413.7422,89.5264130831,46.7985606194,300.9375,0.0
42414.2266,89.5264130831,46.7985606194,300.9375,0.0
42414.7031,89.5264130831,46.7985606194,300.9375,0.0
42415.2578,89.5264184475,46.7985552549,300.9375,0.0
42415.7109,89.5264023542,46.7985552549,300.9375,0.0
42416.1172,89.5264023542,46.7985552549,300.9375,0.0
42416.7109,89.5264130831,46.7985606194,300.9375,0.0
42417.2188,89.5264184475,46.7985552549,300.9375,0.0
42417.7891,89.5264130831,46.7985606194,300.9375,0.0
42418.2578,89.5264130831,46.7985606194,300.9375,0.0
42418.7266,89.5264184475,46.7985552549,300.9375,0.0
42419.7578,89.5264130831,46.7985606194,300.9375,0.0
42420.2891,89.5264130831,46.7985606194,300.9375,0.0
42420.7188,89.5264130831,46.7985606194,300.9375,0.0
42421.1719,89.5264184475,46.7985552549,300.9375,0.0
42421.6641,89.5264023542,46.7985552549,300.9375,0.0
42422.2344,89.5264130831,46.7985606194,300.9375,0.0
42422.6562,89.5264130831,46.7985606194,300.9375,0.0
42423.2109,89.5264023542,46.7985552549,300.9375,0.0
42423.6172,89.5264023542,46.7985552549,300.9375,0.0
42424.1719,89.5264130831,46.7985606194,300.9375,0.0
42424.6953,89.5264130831,46.7985606194,300.9375,0.0
42425.2266,89.5264023542,46.7985552549,300.9375,0.0
42425.8125,89.5264130831,46.7985606194,300.9375,0.0
42426.3281,89.5264130831,46.7985606194,300.9375,0.0
42426.8906,89.5264023542,46.7985552549,300.9375,0.0
42427.4766,89.5264130831,46.7985606194,300.9375,0.0
42427.9922,89.5264184475,46.7985552549,300.9375,0.0
42428.4531,89.5264184475,46.7985552549,300.9375,0.0
42428.9531,89.5264130831,46.7985606194,300.9375,0.0
42429.4609,89.5264130831,46.7985606194,300.9375,0.0
42430.0078,89.5264184475,46.7985552549,300.9375,0.0
42430.4844,89.5264184475,46.7985552549,300.9375,0.0
42431.0391,89.5264130831,46.7985606194,300.9375,0.0
42436.1406,89.5264130831,46.7985606194,300.9375,0.0
42440.9453,89.5264130831,46.7985606194,300.9375,0.0
42445.8516,89.5264130831,46.7985606194,300.9375,0.0
42450.7344,89.5264130831,46.7985606194,300.9375,0.0
42455.6719,89.5264023542,46.7985552549,300.9375,0.0
42460.7578,89.5264023542,46.7985552549,300.9375,0.0
42465.6562,89.5264023542,46.7985552549,300.9375,0.0
42470.5859,89.5264130831,46.7985606194,300.9375,0.0
42475.6094,89.5264023542,46.7985552549,300.9375,0.0
42480.7734,89.5264023542,46.7985552549,300.9375,0.0
42485.875,89.5264130831,46.7985606194,300.9375,0.0
42491.0469,89.5264130831,46.7985606194,300.9375,0.0
42496.1406,89.5263648033,46.7985767126,300.9375,0.0
42501.2969,89.5261985064,46.7986357212,298.125,7.3248
42502.3984,89.5261180401,46.7986571789,298.125,10.1733
42502.8359,89.5260804892,46.7986679077,298.125,13.8357
42503.2734,89.5260322094,46.7986893654,298.125,15.8704
42503.8359,89.5259839296,46.7987215519,300.9375,18.7189
42504.4141,89.5258820057,46.798748374,300.9375,14.6496
42504.9531,89.525796175,46.7987912893,300.9375,17.4981
