TRP,LON,LAT,TA,GS
43606.1641,89.5264828205,46.7985284328,298.125,0.0
43606.7109,89.5264828205,46.7985284328,298.125,0.0
43607.125,89.5264828205,46.7985284328,298.125,0.0
43607.6328,89.5264667273,46.798517704,298.125,0.0
43608.1328,89.5264828205,46.7985284328,298.125,0.0
43608.7344,89.5264667273,46.798517704,298.125,0.0
43609.1719,89.5264667273,46.798517704,298.125,0.0
43609.6094,89.5264667273,46.798517704,298.125,0.0
43610.1406,89.5264828205,46.7985284328,298.125,0.0
43610.5625,89.5264828205,46.7985284328,-10.0,-10.0
43611.1094,89.5264828205,46.7985284328,298.125,0.0
43611.6016,89.5264667273,46.798517704,298.125,0.0
43612.1719,89.5264828205,46.7985284328,298.125,0.0
43612.5781,89.5264828205,46.7985284328,298.125,0.0
43613.0625,89.5264828205,46.7985284328,298.125,0.0
43613.5625,89.5264667273,46.798517704,298.125,0.0
43614.0469,89.5264667273,46.798517704,298.125,0.0
43614.5938,89.5264828205,46.7985284328,298.125,0.0
43615.1953,89.5264667273,46.798517704,298.125,0.0
43615.6094,89.5264667273,46.798517704,298.125,0.0
43616.125,89.5264667273,46.798517704,298.125,0.0
43616.5469,89.5264828205,46.7985284328,298.125,0.0
43617.125,89.5264828205,46.7985284328,298.125,0.0
43617.5859,89.5264667273,46.798517704,298.125,0.0
43618.0234,89.5264667273,46.798517704,298.125,0.0
43618.5469,89.5264828205,46.7985284328,298.125,0.0
43618.9609,89.5264828205,46.7985284328,298.125,0.0
43619.4844,89.5264828205,46.7985284328,298.125,0.0
43624.3828,89.5264667273,46.798517704,-10.0,-10.0
43629.375,89.5264828205,46.7985284328,298.125,0.0
43634.4062,89.5264667273,46.798517704,298.125,0.0
43639.5469,89.5264667273,46.798517704,298.125,0.0
43644.7266,89.5264828205,46.7985123396,298.125,0.0
43649.8281,89.5264828205,46.7985284328,298.125,0.0
43654.8672,89.5264667273,46.798517704,298.125,0.0
43659.9453,89.5264667273,46.798517704,298.125,0.0
43664.9141,89.5264667273,46.798517704,298.125,0.0
43670.0391,89.5264667273,46.798517704,298.125,0.0
43675.0234,89.5264828205,46.7985284328,298.125,0.0
43679.9375,89.5264828205,46.7985123396,298.125,0.0
43685.0938,89.5264828205,46.7985284328,298.125,0.0
43690.1172,89.5264667273,46.798517704,298.125,0.0
43695.0781,89.5264828205,46.7985123396,298.125,0.0
43700.1875,89.5264613628,46.7985284328,298.125,0.0
43705.3828,89.5264828205,46.7985284328,298.125,0.0
43710.1953,89.5264613628,46.7985284328,298.125,0.0
43715.1953,89.5264667273,46.798517704,298.125,0.0
43720.2578,89.5264828205,46.7985284328,298.125,0.0
43725.2422,89.5264667273,46.798517704,298.125,0.0
43730.1172,89.5264667273,46.798517704,298.125,0.0
43735.1172,89.5264828205,46.7985123396,298.125,0.0
43740.3203,89.5264828205,46.7985284328,298.125,0.0
43745.3203,89.5264667273,46.798517704,298.125,0.0
43750.4609,89.5264667273,46.798517704,298.125,0.0
43755.5938,89.5264667273,46.798517704,298.125,0.0
43760.5703,89.5262038708,46.798619628,300.9375,16.6843
43761.0391,89.526155591,46.7986410856,300.9375,19.5328
43761.625,89.5260643959,46.7986679077,300.9375,14.6496
43762.0703,89.5260000229,46.7987054586,300.9375,17.4981
43763.4844,89.5257264376,46.7988181114,-10.0,-10.0
43763.9766,89.5255976915,46.7988610268,300.9375,26.8576
43764.5547,89.5254635811,46.7989093065,300.9375,23.1952
43764.9688,89.5253455639,46.7989683151,300.9375,24.8229
43765.5234,89.5252114534,46.7990165949,300.9375,27.6715
43766.4844,89.5249271393,46.7991292477,300.9375,37.031
43767.8438,89.524412,46.799269,299.1797,105.3958
43768.8047,89.52409,46.799419,299.8828,114.7553
43769.2578,89.52394,46.799505,299.1797,120.0454
43769.75,89.523683,46.799591,299.1797,125.7425
43770.3203,89.523468,46.799634,298.8281,129.4049
43770.7422,89.523318,46.799719,299.5312,135.102
43771.2969,89.523082,46.799827,299.1797,140.3921
43771.7031,89.522867,46.799912,299.5312,144.0545
43772.7812,89.522266,46.800148,299.5312,153.414
43773.3125,89.522073,46.800234,299.5312,157.0764
43773.8984,89.521816,46.80032,-10.0,-10.0
43774.9766,89.521129,46.800556,299.1797,173.7606
43775.5625,89.520807,46.800685,299.1797,177.423
43776.0781,89.520528,46.800792,299.1797,181.0854
43776.5391,89.520271,46.800921,299.1797,181.0854
43778.0938,89.519327,46.801286,299.5312,197.7697
43779.125,89.518661,46.801543,299.5312,207.1292
43779.5312,89.518383,46.801629,299.5312,207.1292
43780.3438,89.517825,46.801865,299.1797,214.454
43781.3594,89.517052,46.802166,299.5312,223.8135
43782.8281,89.515979,46.802616,299.1797,225.8481
43783.7891,89.515228,46.802895,299.1797,225.8481
43786.2891,89.513297,46.803625,299.1797,253.5196
43787.2656,89.512417,46.803989,299.1797,253.5196
43787.8203,89.511924,46.80414,299.1797,253.5196
43788.4141,89.511409,46.804397,299.1797,253.5196
43788.8281,89.511023,46.804504,299.1797,253.5196
43792.1797,89.507933,46.805685,298.8281,283.2258
43792.7109,89.507525,46.805813,-10.0,-10.0
43793.6016,89.506667,46.806178,298.4766,290.5506
43794.6406,89.505744,46.806479,298.4766,290.5506
43795.7578,89.504778,46.806865,298.125,288.5159
43796.6562,89.503899,46.807165,298.4766,286.8882
