TRP,LON,LAT,TA,GS
27236.2734,89.51218128,46.80423081,87.1875,9.3595
27236.6875,89.51221347,46.80423617,84.375,9.3595
27237.2188,89.51223493,46.80424154,78.75,9.3595
27237.7578,89.51225102,46.804263,73.125,9.3595
27238.3203,89.51228321,46.80428982,67.5,9.3595
27239.4062,89.51232076,46.804322,56.25,9.3595
27239.8516,89.51233685,46.80433273,53.4375,9.3595
27241.4297,89.51238513,46.80440247,42.1875,10.1733
27241.8438,89.51240122,46.8044132,39.375,10.1733
27242.2734,89.51240122,46.80443466,36.5625,10.1733
27242.7109,89.51241732,46.80445075,33.75,10.1733
27244.25,89.51247096,46.80451512,30.9375,12.208
27244.7656,89.51249242,46.80454195,28.125,12.208
27246.2188,89.51253533,46.80460632,28.125,12.208
27246.7969,89.51255143,46.80464387,28.125,13.0219
27247.2578,89.51258361,46.80466533,28.125,6.5109
27247.8203,89.51261044,46.80469215,28.125,6.5109
27248.2969,89.51262653,46.80471897,28.125,7.3248
27248.7656,89.51264262,46.80474043,28.125,7.3248
27249.3594,89.51268017,46.80477262,28.125,8.1387
27249.9062,89.51269627,46.80479944,28.125,8.1387
27250.7656,89.51272845,46.80485845,28.125,8.1387
27251.3281,89.512766,46.8048799,28.125,9.3595
27251.7656,89.51277137,46.80490673,28.125,9.3595
27252.3359,89.51280355,46.80493891,28.125,10.1733
27253.3828,89.5128572,46.80499792,28.125,10.9872
27253.8594,89.51288402,46.80503011,28.125,10.9872
27255.6797,89.51296985,46.80514812,28.125,12.208
27257.6641,89.51307178,46.80526078,30.9375,13.0219
27258.8047,89.51314151,46.80534124,30.9375,13.0219
27259.2891,89.51315761,46.80536807,-10,-10
27263.2422,89.51332927,46.80556655,30.9375,8.1387
27264.7266,89.51337218,46.80562556,30.9375,13.0219
27265.6484,89.51340437,46.80567384,30.9375,12.208
27268.1484,89.51350093,46.80577576,28.125,12.208
27270.5234,89.51355457,46.80586696,28.125,9.3595
