TRP,LON,LAT,TA,GS
23937.6094,89.51814651,46.80175781,298.125,61.04
23939.5703,89.5168376,46.80226207,298.125,72.0272
23943.7578,89.51435924,46.80324912,298.125,61.04
23944.2188,89.51413929,46.80333495,298.125,61.04
23946.0312,89.51362431,46.80353343,298.125,57.3776
23948.7656,89.51235294,46.80402696,298.125,46.3904
23949.5781,89.51201499,46.80415034,298.125,57.3776
23950.1484,89.51175213,46.80425227,298.125,57.3776
23951.625,89.51116204,46.80449367,298.125,48.0182
23952.0938,89.51099575,46.80455267,298.125,48.0182
23954.1172,89.51027691,46.80483162,298.125,42.728
23955.1406,89.50993896,46.80497646,300.9375,37.031
23955.7109,89.50982094,46.80501938,300.9375,37.031
23956.1172,89.50966001,46.80508912,300.9375,33.3686
23956.625,89.50953662,46.8051374,300.9375,33.3686
23957.6484,89.50923622,46.80523932,298.125,31.3339
23959.9453,89.50851738,46.80552363,298.125,27.6715
23960.4609,89.50841546,46.80555582,298.125,27.6715
23960.8672,89.50829744,46.8056041,298.125,27.6715
23963.1875,89.50768054,46.8058455,300.9375,24.8229
23963.7578,89.50753033,46.80591524,300.9375,24.0091
23965.3203,89.50710118,46.80609226,300.9375,23.1952
23966.2578,89.50691342,46.80615664,300.9375,22.3813
23966.6797,89.50680614,46.80619419,300.9375,22.3813
23973.0781,89.50562596,46.80666089,298.125,22.3813
23974.5703,89.50533092,46.80677891,298.125,18.7189
23976.1953,89.50508952,46.8068701,298.125,15.8704
23976.7578,89.50501442,46.80689693,300.9375,13.8357
23978.4375,89.50483203,46.80696666,300.9375,17.4981
23981.8281,89.50452626,46.80709004,298.125,9.3595
23983.2812,89.50446188,46.80711687,298.125,10.1733
23984.8281,89.50438142,46.80714905,298.125,7.3248
23985.25,89.50436533,46.80714905,300.9375,6.5109
23986.6875,89.50430095,46.80718124,300.9375,6.5109
23988.1406,89.50423121,46.80720806,300.9375,5.6971
23988.6406,89.50421512,46.80720806,300.9375,5.6971
23989.1094,89.50419903,46.80721879,298.125,9.3595
23989.5078,89.50418293,46.80722952,298.125,9.3595
23989.9062,89.50416684,46.80722952,298.125,9.3595
23990.375,89.50412929,46.80724025,298.125,9.3595
23990.875,89.50412929,46.80724025,298.125,9.3595
23991.4453,89.5040971,46.80725098,295.3125,8.1387
23992.5078,89.50404346,46.80726171,292.5,7.3248
23993.9766,89.50402737,46.80726171,289.6875,6.5109
23994.5,89.50399518,46.80727243,289.6875,6.5109
23994.9297,89.50399518,46.80727243,286.875,6.5109
23995.8984,89.50395763,46.80727243,286.875,6.5109
23996.4766,89.50393081,46.80727243,284.0625,6.5109
23997.4375,89.50390935,46.80727243,284.0625,6.5109
23998.2422,89.5038718,46.80728853,281.25,6.5109
23998.7109,89.50385571,46.80727243,281.25,6.5109
23999.1797,89.50382888,46.80728853,278.4375,6.5109
23999.6953,89.50382888,46.80728853,278.4375,6.5109
24000.2109,89.50378597,46.80728853,278.4375,7.3248
24000.6406,89.50378597,46.80727243,278.4375,7.3248
24001.5703,89.50374305,46.80727243,278.4375,7.3248
24003.3125,89.50367868,46.80728853,278.4375,7.3248
24005.1953,89.50360894,46.80729926,284.0625,7.3248
24006.1562,89.50358212,46.80730999,286.875,7.3248
24006.5781,89.50354457,46.80732071,286.875,7.3248
24007.0859,89.50352848,46.80732071,289.6875,6.5109
24007.5625,89.50350702,46.80733144,292.5,6.5109
24011.0391,89.50345874,46.80740118,315.0,3.6624
24011.9609,89.50344265,46.80742264,320.625,3.2555
24013.9219,89.50345874,46.80747092,334.6875,2.4416
24014.9219,89.5034802,46.80749774,343.125,1.6277
24015.3203,89.50345874,46.80749774,345.9375,1.6277
24016.7031,89.50349629,46.8075192,357.1875,5.6971
24017.1562,89.50350702,46.80752456,2.8125,4.4763
24020.4297,89.50356066,46.80754066,28.125,2.0347
24021.0,89.50359821,46.80752993,33.75,2.0347
24021.4297,89.50359821,46.80752993,36.5625,2.0347
24023.4219,89.50366795,46.80752993,45.0,1.2208
24024.6562,89.50368404,46.80752993,53.4375,0.8139
24025.2422,89.50367868,46.80754066,56.25,0.8139
24025.7891,89.50370014,46.80752993,59.0625,1.2208
24026.7266,89.50372696,46.80752456,64.6875,1.6277
24027.2266,89.50374305,46.80751383,67.5,1.6277
24027.7422,89.50375378,46.8075192,70.3125,2.0347
24028.1484,89.50376987,46.80750847,73.125,2.0347
24028.6484,89.50376987,46.8075192,75.9375,2.4416
24029.1328,89.50379133,46.8075031,81.5625,2.4416
24029.7109,89.50379133,46.8075031,81.5625,2.8485
24030.2734,89.50382352,46.80749774,87.1875,3.2555
24030.7812,89.50382888,46.80749238,90.0,3.2555
24031.1797,89.50382888,46.80748165,92.8125,3.6624
24031.6328,89.50384498,46.80748165,95.625,3.6624
24032.2031,89.5038718,46.80747092,98.4375,3.6624
24032.6328,89.5038718,46.80747092,101.25,3.6624
24033.2031,89.50387716,46.80746019,104.0625,4.4763
24033.6328,89.50389326,46.80746019,106.875,4.4763
24034.1016,89.50390935,46.8074441,106.875,4.4763
24034.6484,89.50392544,46.80743873,109.6875,4.4763
24035.1719,89.50393081,46.80742264,112.5,4.4763
24035.6172,89.50394154,46.80742264,115.3125,5.6971
24036.0391,89.50396299,46.80741191,115.3125,5.6971
24036.5625,89.50397372,46.80741191,118.125,5.6971
24037.1328,89.50399518,46.80739045,118.125,5.6971
24037.6406,89.50399518,46.80739045,120.9375,5.6971
24038.1094,89.50401127,46.80737972,120.9375,1.6277
24038.5234,89.50402737,46.80737972,120.9375,1.6277
24038.9766,89.50404346,46.80735826,123.75,1.6277
24039.4922,89.50405955,46.80735826,123.75,1.6277
24040.0391,89.50408101,46.80734217,123.75,1.6277
24040.6094,89.5040971,46.80734754,123.75,1.6277
24041.0234,89.5041132,46.80733681,123.75,1.6277
24041.4531,89.5041132,46.80732071,123.75,2.0347
24041.8594,89.5041132,46.80733681,123.75,2.0347
24042.3906,89.50412929,46.80732071,123.75,2.0347
24042.8594,89.50414538,46.80730999,123.75,2.0347
24043.3203,89.50416684,46.80730999,123.75,2.4416
