TRP,LON,LAT,TA,GS
42166.9453,89.5122993,46.80431128,,
42169.0703,89.51228321,46.80421472,185.625,8.1387
42170.0781,89.51228321,46.8041718,177.1875,8.1387
42171.6562,89.51232076,46.80411816,163.125,7.3248
42172.0625,89.51233149,46.80410743,157.5,7.3248
42172.4609,89.51235294,46.80409133,154.6875,8.1387
42173.3828,89.51236904,46.80405915,149.0625,8.1387
42176.8594,89.51255143,46.80395722,126.5625,10.1733
42177.9297,89.51262653,46.80393577,123.75,12.208
42178.8203,89.51268017,46.80391431,120.9375,13.0219
42183.7812,89.51307178,46.8037641,118.125,13.0219
42186.6094,89.51335609,46.80364609,118.125,14.6496
42188.2891,89.51355457,46.80357635,120.9375,15.8704
42188.75,89.51360822,46.80354953,120.9375,16.27735
42189.1797,89.5136404,46.8035388,120.9375,16.6843
42194.8672,89.51441288,46.80323303,120.9375,13.8357
42197.7812,89.51481521,46.80307746,120.9375,14.6496
42210.0391,89.51680005,46.80231035,119.6985981,16.07385
42210.5,89.51689124,46.80226207,118.125,17.4981
42210.9375,89.51695561,46.80224061,118.125,17.4981
42211.4609,89.51701999,46.80220306,118.125,17.4981
42212.3984,89.51721311,46.80214405,120.9375,17.4981
42212.8516,89.51726139,46.80212259,120.9375,16.6843
42215.9141,89.51777637,46.80192411,118.125,16.6843
42216.3438,89.51784611,46.80188656,118.125,16.6843
42217.9766,89.51811969,46.80179536,118.125,16.6843
42223.5391,89.51901555,46.80143595,118.125,16.6843
42225.5078,89.51932132,46.80131793,118.125,15.8704
42226.0703,89.51941788,46.80128038,118.125,15.8704
42226.5391,89.51948226,46.80125356,118.125,16.6843
42227.5938,89.51964855,46.80118918,118.125,16.6843
42228.0391,89.51971829,46.801157,118.125,16.6843
42228.5703,89.51980412,46.80113018,118.125,16.6843
42229.4531,89.51993823,46.80107117,118.125,16.6843
42229.9453,89.52002406,46.80103898,118.125,16.6843
42230.5156,89.52012062,46.80100143,118.125,16.6843
42231.4922,89.52028155,46.80094779,120.9375,16.6843
42232.4531,89.52043712,46.80088878,120.9375,16.6843
42232.9766,89.52050686,46.80085659,120.9375,16.6843
42234.0938,89.52070534,46.80077612,120.9375,16.6843
42234.6094,89.52077508,46.80073857,120.9375,16.6843
42236.7344,89.52113986,46.80060983,120.9375,16.6843
42237.2344,89.5212096,46.80057228,120.9375,16.6843
