TRP,LON,LAT,TA,GS
27454.2344,89.51340437,46.80712759,45.0,4.4763
27457.3438,89.51346874,46.80713832,53.4375,5.6971
27458.3438,89.5134902,46.80713832,56.25,5.6971
27458.8125,89.5134902,46.80714905,56.25,5.6971
27461.3047,89.51355457,46.80714905,64.6875,1.6277
27461.875,89.51357603,46.80714905,67.5,1.6277
27462.3906,89.51359212,46.80714905,70.3125,1.6277
27462.9219,89.51360822,46.80715978,70.3125,1.6277
27463.4844,89.51360822,46.80714905,73.125,1.6277
27464.3281,89.5136404,46.80714905,75.9375,1.6277
27464.9141,89.5136565,46.80714905,78.75,2.0347
27465.4688,89.51367259,46.80714905,81.5625,2.0347
27466.8828,89.51371014,46.80713832,87.1875,2.0347
27467.3984,89.51372623,46.80713832,90.0,2.0347
27468.4141,89.51375842,46.80712759,92.8125,2.4416
27470.9844,89.51382816,46.80709004,104.0625,2.8485
27472.375,89.51387644,46.80706859,109.6875,2.8485
27472.8984,89.5138979,46.80706859,112.5,2.8485
27474.4219,89.51393008,46.80704176,115.3125,3.2555
27474.8906,89.51391399,46.80705786,115.3125,3.2555
27475.3438,89.51393008,46.80704176,115.3125,3.2555
27475.7422,89.51395154,46.80703104,118.125,3.2555
27476.3047,89.5139569,46.8070364,118.125,3.2555
27476.8125,89.51397836,46.80702567,118.125,3.2555
27477.3359,89.51399982,46.80700958,118.125,3.2555
27477.8906,89.51401055,46.80699885,120.9375,3.2555
27478.3516,89.51402664,46.80699885,120.9375,3.2555
27478.8359,89.51405346,46.80698276,120.9375,3.2555
27479.3594,89.51406956,46.80698276,120.9375,3.2555
27480.2656,89.51409101,46.80696666,123.75,3.2555
27482.2031,89.51414466,46.80691838,129.375,2.8485
27483.625,89.51418757,46.80690765,135.0,2.8485
27484.6719,89.51419294,46.80687547,137.8125,2.8485
27486.8984,89.51424122,46.80682182,149.0625,2.8485
27487.3203,89.51424122,46.80681109,151.875,2.8485
27488.7812,89.51424122,46.80678427,157.5,2.4416
27493.8828,89.51419294,46.8066448,182.8125,3.2555
27499.7344,89.51410174,46.80652142,202.5,5.6971
27500.1562,89.51410174,46.80651069,202.5,5.6971
27501.8516,89.51404274,46.80645168,205.3125,5.6971
27508.5938,89.5138818,46.80624247,208.125,7.3248
27509.625,89.51384425,46.80619419,208.125,7.3248
27510.9766,89.51381207,46.80614591,208.125,7.3248
27514.1797,89.51371014,46.80604398,210.9375,8.1387
27514.6328,89.51369405,46.80601716,210.9375,8.1387
27515.2031,89.51367259,46.80600643,208.125,7.3248
27515.7344,89.5136565,46.80598497,208.125,7.3248
27517.2969,89.51362431,46.80592597,208.125,7.3248
27518.2031,89.51360822,46.80590451,208.125,6.5109
27519.0469,89.51357603,46.80587769,208.125,6.5109
27519.4609,89.51355457,46.80585623,208.125,6.5109
27520.4609,89.51353848,46.80582404,208.125,6.5109
27520.9766,89.51353848,46.80582404,208.125,5.6971
27522.0312,89.51350093,46.80578649,208.125,5.6971
27523.0156,89.51350093,46.80578649,208.125,5.6971
27523.4922,89.5134902,46.80577576,208.125,4.4763
27524.0156,89.5134902,46.80576503,210.9375,4.4763
27524.4844,89.51346874,46.80574358,210.9375,4.4763
27525.4219,89.51344192,46.80571675,210.9375,4.4763
27525.9531,89.51344192,46.80570602,210.9375,5.6971
27526.4766,89.5134151,46.8056953,210.9375,5.6971
27526.9531,89.5134151,46.80568457,210.9375,5.6971
27527.3828,89.513399,46.80566847,210.9375,5.6971
27528.4844,89.51338291,46.80563629,210.9375,6.5109
27528.9141,89.51336682,46.80562556,210.9375,6.5109
27529.8438,89.51334,46.80558264,210.9375,5.6971
27530.8125,89.51330781,46.80555582,210.9375,5.6971
27531.2812,89.51329708,46.80554509,210.9375,6.5109
27531.7344,89.51329708,46.80553436,210.9375,6.5109
27532.3125,89.51327026,46.80551291,210.9375,6.5109
27532.8438,89.51326489,46.80549681,210.9375,6.5109
27533.25,89.51324344,46.80546999,210.9375,7.3248
27533.6562,89.51322734,46.80545926,210.9375,7.3248
27534.6172,89.51321125,46.80542707,210.9375,7.3248
27535.1641,89.51318979,46.80541098,210.9375,8.1387
27536.2344,89.51315761,46.8053627,210.9375,8.1387
27537.6172,89.51312006,46.80531979,208.125,8.1387
27538.5312,89.51309323,46.8052876,208.125,9.3595
27539.6172,89.51305568,46.80523932,210.9375,9.3595
27540.1875,89.51303959,46.80521786,210.9375,10.1733
27540.6016,89.5130235,46.80520713,210.9375,10.1733
27542.6172,89.51295376,46.8051213,210.9375,10.1733
27543.125,89.51292157,46.80508912,208.125,10.9872
27543.5938,89.51292157,46.80507839,208.125,10.9872
27544.4609,89.51288402,46.80503011,210.9375,10.9872
27544.9141,89.51286793,46.80500865,208.125,12.208
27545.3125,89.51285183,46.80499792,208.125,12.208
27545.7734,89.51283574,46.8049711,210.9375,12.208
27546.2812,89.51280355,46.80494964,210.9375,12.208
27546.7422,89.51281965,46.80497646,210.9375,12.208
27547.3203,89.51281428,46.80494964,210.9375,12.208
27547.8203,89.51278746,46.80491745,210.9375,12.208
27548.7578,89.51275527,46.80486918,210.9375,13.0219
27549.2344,89.51272845,46.80485845,210.9375,13.0219
27549.7109,89.51271236,46.80483162,210.9375,13.0219
27550.125,89.51269627,46.80481017,210.9375,13.0219
27550.6875,89.51266944,46.80479407,208.125,13.0219
27551.2344,89.51266408,46.80476189,208.125,13.0219
27551.7578,89.51264262,46.80474043,208.125,13.0219
27553.1406,89.51258361,46.80467606,208.125,13.0219
27553.6016,89.51255143,46.8046546,208.125,13.0219
27554.1172,89.5125407,46.80462241,208.125,13.0219
27554.6328,89.51251924,46.80459559,208.125,13.0219
27555.0547,89.51250315,46.80457413,208.125,13.0219
27556.3828,89.51245487,46.80452585,208.125,12.208
27556.8359,89.51243877,46.80449367,208.125,12.208
27557.3516,89.51243877,46.80448294,208.125,12.208
27558.4766,89.51238513,46.80442393,208.125,10.9872
27559.4219,89.51235294,46.80439174,208.125,10.1733
27559.8828,89.51233149,46.80438101,208.125,10.1733
27560.3672,89.51233149,46.80437028,208.125,9.3595
27560.9141,89.51232076,46.80434346,205.3125,9.3595
27562.7656,89.5122993,46.80427909,199.6875,7.3248
27563.2812,89.5122993,46.80425227,194.0625,6.5109
27564.5859,89.5122993,46.80420399,185.625,6.5109
27566.1953,89.51232076,46.80414498,174.375,6.5109
27566.7031,89.51232076,46.80412889,165.9375,6.5109
27567.1172,89.51233149,46.80411816,165.9375,6.5109
27567.5156,89.51233149,46.80410743,165.9375,6.5109
