TRP,LON,LAT,TA,GS
26063.7891,89.52638626,46.79854453,300.9375,0.0
26079.0469,89.52637553,46.79854989,300.9375,0.0
26089.1641,89.52638626,46.79854453,300.9375,0.0
26094.0234,89.52631652,46.79856598,300.9375,0.0
26094.4453,89.52626824,46.79858744,300.9375,3.6624
26095.375,89.52618778,46.79861963,300.9375,13.0219
26095.8828,89.52615559,46.79863036,300.9375,13.0219
26096.4141,89.5260483,46.79866791,300.9375,13.8357
26096.9531,89.52600002,46.79868937,300.9375,13.8357
26097.4922,89.5258981,46.79873228,300.9375,16.68425
26097.9531,89.52582836,46.7987591,300.9375,19.5328
26098.4375,89.52569962,46.79880738,300.9375,16.6843
26099.0234,89.52561378,46.79883957,300.9375,16.6843
26099.5469,89.52546895,46.79890931,300.9375,19.5328
26100.1406,89.52534556,46.79895759,300.9375,22.3813
26100.6953,89.52517927,46.79901123,300.9375,26.8576
26101.9844,89.52480912,46.79916143,300.9375,24.0091
26102.4141,89.52464283,46.79922044,300.9375,31.3339
26103.0078,89.52447116,46.79929018,300.9375,31.3339
26103.5078,89.52425659,46.79936528,300.9375,40.6934
26104.0547,89.52409565,46.79944575,300.9375,40.6934
26104.5703,89.52387035,46.79951549,300.9375,34.9963
26105.0781,89.52370405,46.79959595,300.9375,34.9963
26105.5703,89.52346802,46.79967642,300.9375,44.3558
26106.0469,89.52328563,46.79975688,300.9375,44.3558
26106.4844,89.52307105,46.79983735,300.9375,51.6806
26109.8359,89.521472,46.800427,299.5312,153.414
26110.9219,89.520872,46.800685,300.1702773,157.0764
26111.5078,89.520507,46.800792,299.1797,160.7388
26112.0469,89.520206,46.800921,299.5312,168.4705
26112.6406,89.519885,46.801071,299.5312,168.4705
26113.125,89.519606,46.801157,299.8828,177.423
26114.1641,89.518919,46.801436,299.8828,183.1201
26115.3047,89.518168,46.801715,299.5312,190.4449
26116.2422,89.517546,46.801951,299.1797,199.8044
26117.1406,89.516945,46.802187,299.5312,207.1292
26123.1328,89.512396,46.803968,299.5312,227.4759
26123.6719,89.511881,46.804183,299.8828,247.8226
26126.0625,89.50995,46.804955,299.8828,251.485
26126.6484,89.509392,46.805127,299.8828,262.8791
26127.6875,89.508533,46.805491,299.1797,268.1692
26129.1641,89.507267,46.806006,299.1797,268.1692
26130.875,89.505808,46.806521,299.1797,268.1692
26132.5547,89.504392,46.807101,299.1797,268.1692
26133.5234,89.503512,46.807423,299.1797,268.1692
