TRP,LON,LAT,TA,GS
20180.6406,89.5080936,46.80571675,298.125,20.3467
20181.6562,89.50789511,46.80578649,298.125,20.3467
20184.5469,89.50737476,46.8059957,300.9375,20.3467
20185.0703,89.50727284,46.80603325,300.9375,20.3467
20185.5312,89.50719237,46.80606008,300.9375,20.3467
20186.4531,89.50700998,46.80612981,298.125,20.3467
20187.4062,89.50684369,46.80619419,298.125,20.3467
20187.8984,89.50675786,46.80624247,298.125,20.3467
20188.4609,89.50665593,46.80627465,298.125,20.3467
20190.0469,89.50635552,46.80639267,300.9375,20.3467
20191.4609,89.5060873,46.80649459,298.125,20.3467
20193,89.50581908,46.80660188,298.125,19.5328
20195.9688,89.50536847,46.80678427,298.125,16.6843
20204.3359,89.50454772,46.80710077,298.125,9.3595
20205.3281,89.50447798,46.80712759,297.4819437,7.9352
20205.7344,89.50444579,46.80713832,300.9375,6.5109
20206.2969,89.5044297,46.80714905,300.9375,10.9872
20210.6875,89.5042634,46.80727243,315,7.3248
20211.1172,89.5042634,46.80728853,317.8125,7.3248
20211.5312,89.50424731,46.80729926,317.8125,7.3248
20216.0703,89.5041132,46.80747092,329.0625,9.3595
20219.0859,89.50402737,46.80757821,326.25,8.1387
20227.0703,89.50368404,46.80755138,255.9375,4.4763
20228.0469,89.50366795,46.8075192,244.6875,4.4763
20229.0312,89.50366795,46.80748701,233.4375,4.4763
20229.4453,89.50368404,46.80747092,227.8125,3.6624
20230.0234,89.50366795,46.80744946,222.1875,3.6624
20230.5234,89.50369477,46.80743337,213.75,3.6624
20231.0781,89.50368404,46.807428,208.125,3.6624
20231.5469,89.50371623,46.80741191,202.5,3.6624
20232.1328,89.50371623,46.80739045,196.875,3.6624
20232.5547,89.50373769,46.80739045,191.25,3.6624
20232.9922,89.50374305,46.80737972,185.625,3.6624
20233.4141,89.50375915,46.80737972,182.8125,3.6624
20233.9062,89.50377524,46.80736899,177.1875,3.6624
20234.4609,89.50380206,46.80735826,171.5625,3.2555
20235.0078,89.50382352,46.80734754,165.9375,3.2555
20236.0156,89.50385571,46.80733681,154.6875,3.2555
20236.4375,89.5038718,46.80733681,151.875,3.2555
20236.9062,89.50388789,46.80733681,146.25,3.2555
20237.3438,89.50390935,46.80733681,143.4375,3.2555
20237.875,89.50393081,46.80733144,140.625,3.2555
20238.2734,89.50394154,46.80732071,137.8125,3.2555
20238.8203,89.50395763,46.80732071,135,3.2555
20239.3281,89.50397372,46.80730999,132.1875,3.2555
20239.875,89.50401127,46.80730999,129.375,3.2555
20240.3203,89.50401127,46.80730999,126.5625,3.2555
20240.7969,89.50404346,46.80729926,126.5625,3.2555
20241.3438,89.50405955,46.80729926,123.75,3.2555
20242.2188,89.50409174,46.80728853,123.75,3.2555
20242.7422,89.5041132,46.80727243,123.75,3.2555
20243.6172,89.50414538,46.80726171,120.9375,3.6624
20244.1562,89.50416684,46.80725098,120.9375,3.6624
20244.6328,89.50417757,46.80724025,123.75,4.4763
20245.0391,89.50419366,46.80724025,123.75,4.4763
20245.5156,89.50421512,46.80722952,123.75,4.4763
20246.0469,89.50423121,46.80721879,123.75,4.4763
20246.4688,89.5042634,46.80720806,123.75,5.6971
20246.8984,89.50428486,46.80720806,120.9375,5.6971
20247.5,89.50431168,46.80718124,120.9375,5.6971
20247.9844,89.5043385,46.80718124,120.9375,5.6971
20248.5156,89.50434387,46.80717051,120.9375,6.5109
20249.0938,89.50438678,46.80715978,120.9375,6.5109
20249.6484,89.50442433,46.80714905,120.9375,7.3248
20250.2109,89.50444043,46.80713832,120.9375,7.3248
20250.7344,89.50446188,46.80712759,120.9375,7.3248
20251.1562,89.50448871,46.80711687,120.9375,7.3248
20251.6406,89.50452626,46.80710077,120.9375,8.1387
20252.0703,89.50454235,46.80710077,120.9375,8.1387
20252.6562,89.5045799,46.80707932,120.9375,9.3595
20253.1562,89.50459599,46.80706859,120.9375,9.3595
20253.6172,89.50462818,46.80706859,120.9375,9.3595
20254.0859,89.50466037,46.80705786,120.9375,9.3595
20254.4922,89.50468183,46.80704713,120.9375,10.1733
20254.9688,89.50471401,46.8070364,120.9375,10.1733
20255.5469,89.5047462,46.80700958,120.9375,10.9872
20255.9844,89.50478375,46.80700958,120.9375,10.9872
20256.5234,89.50481594,46.80698812,120.9375,10.9872
20257.1094,89.50485349,46.80697203,120.9375,10.9872
20257.6172,89.50488567,46.8069613,120.9375,12.208
20258.1719,89.50491786,46.80695057,120.9375,12.208
20258.7578,89.50495541,46.80693984,120.9375,12.208
20259.2266,89.5049876,46.80691838,120.9375,13.0219
20259.7969,89.50504124,46.80690765,120.9375,13.0219
20260.2188,89.50505733,46.80689156,120.9375,13.0219
20261.1484,89.50512707,46.8068701,120.9375,6.5109
20261.6719,89.50516462,46.80685401,120.9375,6.5109
20263.0938,89.50528264,46.80681109,120.9375,7.3248
20263.5781,89.5053041,46.806795,120.9375,7.3248
20263.9844,89.50533628,46.80678427,118.125,7.3248
20265.4141,89.5054543,46.80673599,118.125,9.3595
20266.8828,89.50556695,46.80669308,120.9375,9.3595
20267.3359,89.50560451,46.80668235,120.9375,10.1733
20268.3906,89.50571179,46.80665016,120.9375,10.9872
20268.8906,89.50574398,46.80662334,120.9375,10.9872
20269.4531,89.50579762,46.80660188,120.9375,10.9872
20271.5781,89.50598538,46.80653214,120.9375,12.208
20272.1016,89.50603902,46.80651069,120.9375,12.208
20272.6094,89.5060873,46.80649459,120.9375,13.0219
20273.5234,89.50617313,46.80646241,120.9375,13.0219
20274.5,89.50625896,46.80643022,120.9375,13.0219
20274.9531,89.50631261,46.80641413,120.9375,13.0219
20275.5078,89.50636089,46.80639267,118.125,13.8357
20276.0938,89.5064038,46.80637121,118.125,13.8357
20279.8828,89.50680614,46.80622101,120.9375,14.6496
20281.8828,89.50700998,46.80612981,118.125,14.6496
20290.4062,89.50799704,46.80574358,120.9375,17.4981
20291.5547,89.50814724,46.8056953,120.9375,17.4981
20303.4844,89.50966001,46.80509984,118.125,17.4981
20309.2188,89.51026082,46.80485845,120.9375,14.6496
20312.2422,89.51057732,46.80473506,120.9375,14.6496
20315.6406,89.51090992,46.80461168,120.9375,14.6496
20321.8594,89.51147854,46.80438101,120.9375,13.0219
20322.4375,89.51151609,46.80437028,120.9375,12.208
20322.8828,89.51156437,46.80434346,120.9375,12.208
20323.2891,89.51158047,46.80434346,120.9375,10.1733
20323.8203,89.51163411,46.804322,120.9375,10.1733
20325.3594,89.51173604,46.80428445,118.125,7.3248
20326.3516,89.51180577,46.804263,118.125,13.0219
20327.7656,89.5118916,46.80423617,115.3125,12.208
20328.3438,89.51191843,46.80423081,115.3125,10.1733
20329.3359,89.51196671,46.80422008,109.6875,9.3595
20329.9062,89.51199889,46.80422008,106.875,9.3595
20331.3672,89.51209545,46.80422544,98.4375,8.1387
20332.7266,89.51218128,46.80425227,84.375,9.3595
20333.75,89.51223493,46.80427372,75.9375,9.3595
20334.2109,89.51226711,46.80427909,70.3125,9.3595
20335.1953,89.51232076,46.804322,59.0625,10.1733
20335.7344,89.51233685,46.80435419,55.61833318,11.19065
20336.2969,89.51235294,46.80438101,50.625,12.208
20336.8281,89.51236904,46.80440247,45,12.208
20337.7266,89.51240122,46.80445075,39.375,12.208
20338.1562,89.51241732,46.80446148,36.5625,12.208
20339.6328,89.51248705,46.80454195,33.75,6.5109
20340.1562,89.51250851,46.8045634,30.9375,6.5109
20340.7109,89.5125246,46.80460095,30.9375,7.3248
20341.3125,89.51255143,46.80462241,30.9375,7.3248
20341.8516,89.51257825,46.80464923,30.9375,7.3248
20342.3672,89.51258361,46.80467606,30.9375,7.3248
20342.8906,89.51261044,46.80469215,30.9375,7.3248
20343.4141,89.51262116,46.80472434,28.125,6.5109
20343.875,89.51264262,46.80474043,28.125,6.5109
20344.8047,89.51268017,46.80478334,28.125,13.0219
20346.7734,89.512766,46.8048799,28.125,13.0219
20350.1562,89.51290011,46.80505693,30.9375,8.1387
20351.1172,89.51293767,46.80509984,30.9375,8.1387
20351.5156,89.51295376,46.80511057,30.9375,7.3248
20353.9766,89.51305568,46.80522859,28.125,13.0219
20355.0234,89.51309323,46.80526078,28.125,12.208
20355.6094,89.51310396,46.80528224,28.125,10.9872
20356.1406,89.51312542,46.80530906,28.125,10.9872
20357.2031,89.51315761,46.80534661,28.125,10.1733
20358.25,89.51317906,46.80537879,28.125,9.3595
20359.7656,89.51322198,46.80544317,28.125,9.3595
20360.1797,89.51323807,46.8054539,28.125,9.3595
20360.6328,89.51326489,46.80546999,30.9375,9.3595
20362.2031,89.51331317,46.80553436,30.36929432,8.7491
20363.7109,89.51334,46.80558264,30.9375,8.1387
20364.2656,89.51335609,46.8056041,30.9375,8.1387
20366.8906,89.51344192,46.8056953,28.125,8.1387
