TRP,LON,LAT,TA,GS
20180.6406,89.5080935955,46.805716753,298.125,20.3467
20181.6562,89.507895112,46.8057864904,298.125,20.3467
20184.5469,89.5073747635,46.8059957027,300.9375,20.3467
20185.0703,89.5072728395,46.8060332537,300.9375,20.3467
20185.5312,89.5071923733,46.8060600758,300.9375,20.3467
20186.4531,89.5070099831,46.8061298132,298.125,20.3467
20187.4062,89.5068436861,46.8061941862,298.125,20.3467
20187.8984,89.5067578554,46.806242466,298.125,20.3467
20188.4609,89.5066559315,46.8062746525,298.125,20.3467
20190.0469,89.5063555241,46.8063926697,300.9375,20.3467
20191.4609,89.5060873032,46.8064945936,298.125,20.3467
20193.0,89.5058190823,46.806601882,298.125,19.5328
20195.9688,89.5053684711,46.8067842722,298.125,16.6843
20204.3359,89.5045477152,46.8071007729,298.125,9.3595
20205.7344,89.5044457912,46.8071383238,300.9375,6.5109
20206.2969,89.504429698,46.8071490526,300.9375,10.9872
20210.6875,89.504263401,46.8072724342,315.0,7.3248
20211.1172,89.504263401,46.8072885275,317.8125,7.3248
20211.5312,89.5042473078,46.8072992563,317.8125,7.3248
20216.0703,89.5041131973,46.8074709177,329.0625,9.3595
20219.0859,89.5040273666,46.8075782061,326.25,8.1387
20227.0703,89.5036840439,46.807551384,255.9375,4.4763
20228.0469,89.5036679506,46.8075191975,244.6875,4.4763
20229.0312,89.5036679506,46.807487011,233.4375,4.4763
20229.4453,89.5036840439,46.8074709177,227.8125,3.6624
20230.0234,89.5036679506,46.80744946,222.1875,3.6624
20230.5234,89.5036947727,46.8074333668,213.75,3.6624
20231.0781,89.5036840439,46.8074280024,208.125,3.6624
20231.5469,89.5037162304,46.8074119091,202.5,3.6624
20232.1328,89.5037162304,46.8073904514,196.875,3.6624
20232.5547,89.5037376881,46.8073904514,191.25,3.6624
20232.9922,89.5037430525,46.8073797226,185.625,3.6624
20233.4141,89.5037591457,46.8073797226,182.8125,3.6624
20233.9062,89.503775239,46.8073689938,177.1875,3.6624
20234.4609,89.5038020611,46.8073582649,171.5625,3.2555
20235.0078,89.5038235188,46.8073475361,165.9375,3.2555
20236.0156,89.5038557053,46.8073368073,154.6875,3.2555
20236.4375,89.5038717985,46.8073368073,151.875,3.2555
20236.9062,89.5038878918,46.8073368073,146.25,3.2555
20237.3438,89.5039093494,46.8073368073,143.4375,3.2555
20237.875,89.5039308071,46.8073314428,140.625,3.2555
20238.2734,89.5039415359,46.807320714,137.8125,3.2555
20238.8203,89.5039576292,46.807320714,135.0,3.2555
20239.3281,89.5039737225,46.8073099852,132.1875,3.2555
20239.875,89.5040112734,46.8073099852,129.375,3.2555
20240.3203,89.5040112734,46.8073099852,126.5625,3.2555
20240.7969,89.5040434599,46.8072992563,126.5625,3.2555
20241.3438,89.5040595531,46.8072992563,123.75,3.2555
20242.2188,89.5040917397,46.8072885275,123.75,3.2555
20242.7422,89.5041131973,46.8072724342,123.75,3.2555
20243.6172,89.5041453838,46.8072617054,120.9375,3.6624
20244.1562,89.5041668415,46.8072509766,120.9375,3.6624
20244.6328,89.5041775703,46.8072402477,123.75,4.4763
20245.0391,89.5041936636,46.8072402477,123.75,4.4763
20245.5156,89.5042151213,46.8072295189,123.75,4.4763
20246.0469,89.5042312145,46.8072187901,123.75,4.4763
20246.4688,89.504263401,46.8072080612,123.75,5.6971
20246.8984,89.5042848587,46.8072080612,120.9375,5.6971
20247.5,89.5043116808,46.8071812391,120.9375,5.6971
20247.9844,89.5043385029,46.8071812391,120.9375,5.6971
20248.5156,89.5043438673,46.8071705103,120.9375,6.5109
20249.0938,89.5043867826,46.8071597815,120.9375,6.5109
20249.6484,89.5044243336,46.8071490526,120.9375,7.3248
20250.2109,89.5044404268,46.8071383238,120.9375,7.3248
20250.7344,89.5044618845,46.8071275949,120.9375,7.3248
20251.1562,89.5044887066,46.8071168661,120.9375,7.3248
20251.6406,89.5045262575,46.8071007729,120.9375,8.1387
20252.0703,89.5045423508,46.8071007729,120.9375,8.1387
20252.6562,89.5045799017,46.8070793152,120.9375,9.3595
20253.1562,89.5045959949,46.8070685863,120.9375,9.3595
20253.6172,89.5046281815,46.8070685863,120.9375,9.3595
20254.0859,89.504660368,46.8070578575,120.9375,9.3595
20254.4922,89.5046818256,46.8070471287,120.9375,10.1733
20254.9688,89.5047140121,46.8070363998,120.9375,10.1733
20255.5469,89.5047461987,46.8070095778,120.9375,10.9872
20255.9844,89.5047837496,46.8070095778,120.9375,10.9872
20256.5234,89.5048159361,46.8069881201,120.9375,10.9872
20257.1094,89.504853487,46.8069720268,120.9375,10.9872
20257.6172,89.5048856735,46.806961298,120.9375,12.208
20258.1719,89.50491786,46.8069505692,120.9375,12.208
20258.7578,89.504955411,46.8069398403,120.9375,12.208
20259.2266,89.5049875975,46.8069183826,120.9375,13.0219
20259.7969,89.5050412416,46.8069076538,120.9375,13.0219
20260.2188,89.5050573349,46.8068915606,120.9375,13.0219
20261.1484,89.5051270723,46.8068701029,120.9375,6.5109
20261.6719,89.5051646233,46.8068540096,120.9375,6.5109
20263.0938,89.5052826405,46.8068110943,120.9375,7.3248
20263.5781,89.5053040981,46.806795001,120.9375,7.3248
20263.9844,89.5053362846,46.8067842722,118.125,7.3248
20265.4141,89.5054543018,46.8067359924,118.125,9.3595
20266.8828,89.5055669546,46.8066930771,120.9375,9.3595
20267.3359,89.5056045055,46.8066823483,120.9375,10.1733
20268.3906,89.5057117939,46.8066501617,120.9375,10.9872
20268.8906,89.5057439804,46.8066233397,120.9375,10.9872
20269.4531,89.5057976246,46.806601882,120.9375,10.9872
20271.5781,89.5059853792,46.8065321445,120.9375,12.208
20272.1016,89.5060390234,46.8065106869,120.9375,12.208
20272.6094,89.5060873032,46.8064945936,120.9375,13.0219
20273.5234,89.5061731339,46.8064624071,120.9375,13.0219
20274.5,89.5062589645,46.8064302206,120.9375,13.0219
20274.9531,89.5063126087,46.8064141273,120.9375,13.0219
20275.5078,89.5063608885,46.8063926697,118.125,13.8357
20276.0938,89.5064038038,46.806371212,118.125,13.8357
20279.8828,89.5068061352,46.8062210083,120.9375,14.6496
20281.8828,89.5070099831,46.8061298132,118.125,14.6496
20290.4062,89.507997036,46.8057435751,120.9375,17.4981
20291.5547,89.5081472397,46.8056952953,120.9375,17.4981
20303.4844,89.5096600056,46.8050998449,118.125,17.4981
20309.2188,89.5102608204,46.8048584461,120.9375,14.6496
20312.2422,89.5105773211,46.8047350645,120.9375,14.6496
20315.6406,89.510909915,46.8046116829,120.9375,14.6496
20321.8594,89.5114785433,46.8043810129,120.9375,13.0219
20322.4375,89.5115160942,46.8043702841,120.9375,12.208
20322.8828,89.511564374,46.804343462,120.9375,12.208
20323.2891,89.5115804672,46.804343462,120.9375,10.1733
20323.8203,89.5116341114,46.8043220043,120.9375,10.1733
20325.3594,89.5117360353,46.8042844534,118.125,7.3248
20326.3516,89.5118057728,46.8042629957,118.125,13.0219
20327.7656,89.5118916035,46.8042361736,115.3125,12.208
20328.3438,89.5119184256,46.8042308092,115.3125,10.1733
20329.3359,89.5119667053,46.8042200804,109.6875,9.3595
20329.9062,89.5119988918,46.8042200804,106.875,9.3595
20331.3672,89.5120954514,46.8042254448,98.4375,8.1387
20332.7266,89.512181282,46.8042522669,84.375,9.3595
20333.75,89.5122349262,46.8042737246,75.9375,9.3595
20334.2109,89.5122671127,46.804279089,70.3125,9.3595
20335.1953,89.5123207569,46.8043220043,59.0625,10.1733
20336.2969,89.5123529434,46.8043810129,50.625,12.208
20336.8281,89.5123690367,46.8044024706,45.0,12.208
20337.7266,89.5124012232,46.8044507504,39.375,12.208
20338.1562,89.5124173164,46.8044614792,36.5625,12.208
20339.6328,89.5124870539,46.8045419455,33.75,6.5109
20340.1562,89.5125085115,46.8045634031,30.9375,6.5109
20340.7109,89.5125246048,46.8046009541,30.9375,7.3248
20341.3125,89.5125514269,46.8046224117,30.9375,7.3248
20341.8516,89.512578249,46.8046492338,30.9375,7.3248
20342.3672,89.5125836134,46.8046760559,30.9375,7.3248
20342.8906,89.5126104355,46.8046921492,30.9375,7.3248
20343.4141,89.5126211643,46.8047243357,28.125,6.5109
20343.875,89.512642622,46.8047404289,28.125,6.5109
20344.8047,89.5126801729,46.8047833443,28.125,13.0219
20346.7734,89.5127660036,46.8048799038,28.125,13.0219
20350.1562,89.5129001141,46.8050569296,30.9375,8.1387
20351.1172,89.512937665,46.8050998449,30.9375,8.1387
20351.5156,89.5129537582,46.8051105738,30.9375,7.3248
20353.9766,89.5130556822,46.805228591,28.125,13.0219
20355.0234,89.5130932331,46.8052607775,28.125,12.208
20355.6094,89.5131039619,46.8052822351,28.125,10.9872
20356.1406,89.5131254196,46.8053090572,28.125,10.9872
20357.2031,89.5131576061,46.8053466082,28.125,10.1733
20358.25,89.5131790638,46.8053787947,28.125,9.3595
20359.7656,89.5132219791,46.8054431677,28.125,9.3595
20360.1797,89.5132380724,46.8054538965,28.125,9.3595
20360.6328,89.5132648945,46.8054699898,30.9375,9.3595
20363.7109,89.5133399963,46.8055826426,30.9375,8.1387
20364.2656,89.5133560896,46.8056041002,30.9375,8.1387
20366.8906,89.5134419203,46.8056952953,28.125,8.1387
20367.375,89.5134580135,46.8057060242,28.125,8.1387
20369.3359,89.5135062933,46.8057757616,30.9375,7.3248
20370.9844,89.5135545731,46.8058240414,28.125,6.5109
20379.0469,89.5135545731,46.8060708046,354.375,3.6624
20381.1562,89.5135062933,46.8061190844,343.125,3.6624
