TRP=22003.8359, LON=90.400958, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.765733
TRP=22004.7266, LON=90.399563, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.7676
TRP=22005.6641, LON=90.39849, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.769059
TRP=22006.2109, LON=90.397696, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.770154
TRP=22007.2031, LON=90.396323, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.771999
TRP=22007.6875, LON=90.395272, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.773458
TRP=22009.1641, LON=90.393384, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.776076
TRP=22010.0703, LON=90.392075, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.777878
TRP=22010.5312, LON=90.391474, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.778586
TRP=22011.0469, LON=90.390959, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.779316
TRP=22011.4609, LON=90.390444, GH=33650, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.780067
TRP=22012.0234, LON=90.389543, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.781204
TRP=22012.5469, LON=90.388534, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.78262
TRP=22013.0938, LON=90.387697, GH=33675, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.783758
TRP=22013.5469, LON=90.387118, GH=33650, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.784487
TRP=22014.0547, LON=90.386388, GH=33650, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.78556
TRP=22014.4609, LON=90.386024, GH=33650, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.785946
TRP=22014.9141, LON=90.385273, GH=33650, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.787041
TRP=22015.4844, LON=90.384436, GH=33650, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.788157
TRP=22016.0469, LON=90.383856, GH=33650, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.788886
TRP=22016.625, LON=90.383105, GH=33650, GS=832.9931, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.78998
