"""{TAP""","""PARSE_RESULT""","""LATH""","""TRDSIM""","""VSLTT""","""AOSCDTIA""","""SDA""","""TRP""","""TRDTST""","""TRDARC""","""TRDDCR""","""TRDSAA""","""TRVH""","""TRV""","""MH""","""AOSTS""","""GTOD""","""GVRRE""","""AOSNTCAS""","""TRDCL""","""AOSARV""","""SIC""","""TRPHDEC""","""AOSTC""","""MSG_TYPE""","""GVA""","""SAC""","""SIL""","""VN""","""TSSS""","""MAM""","""TRVHFSI""","""TSLNAV""","""RP""","""TTA""","""GVR""","""GVRE""","""NACP""","""AOSSA""","""TSICF""","""TRDATP""","""NUCP""","""USE_SIZE""","""TRPH""","""NUCR""","""SI""","""TRDRAB""","""GBS""","""VSVNS""","""LONH""","""GH""","""TRVHDEC""","""TSPS""","""TRPHFSI""","""PIC""","""GS""","""RID""","""TA""","""AOSRA""","""ADDR""","""CS""","""TRDRC""","""ECAT""","""TN""","""SILS""","""NICB""","""LON""","""FL""","""LAT""","""SSR"""
0.0,0.0,46.8017578125,0.0,2.0,0.0,0.0,23937.6094,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23937.6094,0.0,0.0,0.0,0.0,16.0,0.6116256081,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,23937.6094,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23937.6116256081,0.0,34.0,0.0,1.0,0.0,89.5181465149,3075.0,0.0010054959,0.0,0.0,11.0,61.04,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8022620678,0.0,2.0,0.0,0.0,23939.5703,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23939.5703,0.0,0.0,0.0,0.0,16.0,0.571526072,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23939.5703,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23939.571526072,0.0,34.0,0.0,1.0,0.0,89.5168375969,3075.0,0.0010054959,0.0,0.0,11.0,72.0272,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8032491207,0.0,2.0,0.0,0.0,23943.7578,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23943.7578,0.0,0.0,0.0,0.0,16.0,0.7614123467,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23943.7578,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23943.7614123467,0.0,34.0,0.0,1.0,0.0,89.5143592358,3075.0,0.0010054959,0.0,0.0,11.0,61.04,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8033349514,0.0,2.0,0.0,0.0,23944.2188,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23944.2188,0.0,0.0,0.0,0.0,16.0,0.2228287514,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23944.2188,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23944.2228287514,0.0,34.0,0.0,1.0,0.0,89.5141392946,3075.0,0.0010054959,0.0,0.0,11.0,61.04,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8035334349,0.0,2.0,0.0,0.0,23946.0312,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23946.0312,0.0,0.0,0.0,0.0,16.0,0.0317154583,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23946.0312,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23946.0317154583,0.0,34.0,0.0,1.0,0.0,89.5136243105,3075.0,0.0010054959,0.0,0.0,11.0,57.3776,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8040269613,0.0,2.0,0.0,0.0,23948.7656,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23948.7656,0.0,0.0,0.0,0.0,16.0,0.7721567964,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23948.7656,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23948.7721567964,0.0,34.0,0.0,1.0,0.0,89.5123529434,3075.0,0.0010054959,0.0,0.0,11.0,46.3904,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8041503429,0.0,2.0,0.0,0.0,23949.5781,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23949.5781,0.0,0.0,0.0,0.0,16.0,0.5814682534,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23949.5781,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23949.5814682534,0.0,34.0,0.0,1.0,0.0,89.5120149851,3075.0,0.0010054959,0.0,0.0,11.0,57.3776,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8042522669,0.0,2.0,0.0,0.0,23950.1484,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23950.1484,0.0,0.0,0.0,0.0,16.0,0.1517916033,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23950.1484,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23950.1517916033,0.0,34.0,0.0,1.0,0.0,89.5117521286,3075.0,0.0010054959,0.0,0.0,11.0,57.3776,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8044936657,0.0,2.0,0.0,0.0,23951.625,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23951.625,0.0,0.0,0.0,0.0,16.0,0.6316787899,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23951.625,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23951.6316787899,0.0,34.0,0.0,1.0,0.0,89.5111620426,3075.0,0.0010054959,0.0,0.0,11.0,48.0182,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8045526743,0.0,2.0,0.0,0.0,23952.0938,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23952.0938,0.0,0.0,0.0,0.0,16.0,0.1015258906,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23952.0938,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23952.1015258906,0.0,34.0,0.0,1.0,0.0,89.5109957457,3075.0,0.0010054959,0.0,0.0,11.0,48.0182,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.804831624,0.0,2.0,0.0,0.0,23954.1172,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23954.1172,0.0,0.0,0.0,0.0,16.0,0.122626665,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23954.1172,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23954.122626665,0.0,34.0,0.0,1.0,0.0,89.5102769136,3075.0,0.0010054959,0.0,0.0,11.0,42.728,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8049764633,0.0,2.0,0.0,0.0,23955.1406,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23955.1406,0.0,0.0,0.0,0.0,16.0,0.1421139045,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23955.1406,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23955.1421139045,0.0,34.0,0.0,1.0,0.0,89.5099389553,3075.0,0.0010054959,0.0,0.0,11.0,37.031,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8050193787,0.0,2.0,0.0,0.0,23955.7109,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23955.7109,0.0,0.0,0.0,0.0,16.0,0.7117749527,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23955.7109,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23955.7117749527,0.0,34.0,0.0,1.0,0.0,89.5098209381,3075.0,0.0010054959,0.0,0.0,11.0,37.031,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8050891161,0.0,2.0,0.0,0.0,23956.1172,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23956.1172,0.0,0.0,0.0,0.0,16.0,0.1226056395,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23956.1172,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23956.1226056395,0.0,34.0,0.0,1.0,0.0,89.5096600056,3075.0,0.0010054959,0.0,0.0,11.0,33.3686,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8051373959,0.0,2.0,0.0,0.0,23956.625,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23956.625,0.0,0.0,0.0,0.0,16.0,0.6320140883,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23956.625,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23956.6320140883,0.0,34.0,0.0,1.0,0.0,89.509536624,3075.0,0.0010054959,0.0,0.0,11.0,33.3686,0.0,300.9375,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.8052393198,0.0,2.0,0.0,0.0,23957.6484,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23957.6484,0.0,0.0,0.0,0.0,16.0,0.652149247,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23957.6484,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23957.652149247,0.0,34.0,0.0,1.0,0.0,89.5092362165,3075.0,0.0010054959,0.0,0.0,11.0,31.3339,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
0.0,0.0,46.805523634,0.0,2.0,0.0,0.0,23959.9453,0.0,0.0,0.0,0.0,23932.0010054959,23932.0,0.0,0.0,23959.9453,0.0,0.0,0.0,0.0,16.0,0.9520724658,0.0,CAT21,0.0,16.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,23959.9453,-318.75,0.0,0.0,0.0,0.0,0.0,7.0,74.0,23959.9520724658,0.0,34.0,0.0,1.0,0.0,89.5085173845,3075.0,0.0010054959,0.0,0.0,11.0,27.6715,0.0,298.125,0.0,780CE8,CSC6589 ,0.0,0.0,14395.0,0.0,0},,,,
